17,Clyde Drexler
23,Dennis Rodman
56,Gary Payton
121,Patrick Ewing
165,Hakeem Olajuwon
252,Karl Malone
304,John Stockton
305,Robert Parish
397,Reggie Miller
406,Shaquille O'Neal
467,Jason Kidd
708,Kevin Garnett
764,David Robinson
787,Charles Barkley
893,Michael Jordan
937,Scottie Pippen
947,Allen Iverson
951,Ray Allen
959,Steve Nash
977,Kobe Bryant
1122,Dominique Wilkins
1449,Larry Bird
1450,Kevin McHale
1460,James Worthy
1495,Tim Duncan
1717,Dirk Nowitzki
1718,Paul Pierce
2544,LeBron James
2546,Carmelo Anthony
2548,Dwyane Wade
76003,Kareem Abdul-Jabbar
76054,Nate Archibald
76056,Paul Arizin
76127,Elgin Baylor
76166,Dave Bing
76375,Wilt Chamberlain
76462,Dave Cowens
76487,Billy Cunningham
76545,Dave DeBusschere
76681,Julius Erving
76750,Walt Frazier
76804,George Gervin
76882,Hal Greer
76970,John Havlicek
76979,Elvin Hayes
77142,Magic Johnson
77196,Sam Jones
77418,Jerry Lucas
77449,Moses Malone
77459,Pete Maravich
77498,Bob McAdoo
77847,Bob Pettit
77929,Willis Reed
78049,Bill Russell
78076,Dolph Schayes
78126,Bill Sharman
78318,Isiah Thomas
78392,Wes Unseld
78450,Bill Walton
78497,Jerry West
78530,Lenny Wilkens
101108,Chris Paul
201142,Kevin Durant
201566,Russell Westbrook
201935,James Harden
201939,Stephen Curry
202695,Kawhi Leonard
203076,Anthony Davis
203081,Damian Lillard
203507,Giannis Antetokounmpo
600001,Nate Thurmond
600003,Bob Cousy
600006,Earl Monroe
600012,George Mikan
600013,Rick Barry
600015,Oscar Robertson
